date,service,total_ridership,avg_ridership,stdev_ridership,is_outlier
2020-08-24,subway,1307345,2509054.9794841735,1062183.680628766,False
2020-08-25,subway,1346490,2509054.9794841735,1062183.680628766,False
2020-08-26,subway,1407639,2509054.9794841735,1062183.680628766,False
2020-08-27,subway,1358272,2509054.9794841735,1062183.680628766,False
2020-08-28,subway,1388583,2509054.9794841735,1062183.680628766,False
2020-08-29,subway,773667,2509054.9794841735,1062183.680628766,False
2020-08-30,subway,748061,2509054.9794841735,1062183.680628766,False
2020-08-31,subway,1397264,2509054.9794841735,1062183.680628766,False
2020-09-01,subway,1469274,2509054.9794841735,1062183.680628766,False
2020-09-02,subway,1487969,2509054.9794841735,1062183.680628766,False
2020-09-03,subway,1529185,2509054.9794841735,1062183.680628766,False
2020-09-04,subway,1568385,2509054.9794841735,1062183.680628766,False
2020-09-05,subway,1013725,2509054.9794841735,1062183.680628766,False
2020-09-06,subway,819409,2509054.9794841735,1062183.680628766,False
2020-09-07,subway,870964,2509054.9794841735,1062183.680628766,False
2020-09-08,subway,1555816,2509054.9794841735,1062183.680628766,False
2020-09-09,subway,1610076,2509054.9794841735,1062183.680628766,False
2020-09-10,subway,1543662,2509054.9794841735,1062183.680628766,False
2020-09-11,subway,1690334,2509054.9794841735,1062183.680628766,False
2020-09-12,subway,1083698,2509054.9794841735,1062183.680628766,False
2020-09-13,subway,796740,2509054.9794841735,1062183.680628766,False
2020-09-14,subway,1604381,2509054.9794841735,1062183.680628766,False
2020-09-15,subway,1678078,2509054.9794841735,1062183.680628766,False
2020-09-16,subway,1686909,2509054.9794841735,1062183.680628766,False
2020-09-17,subway,1692368,2509054.9794841735,1062183.680628766,False
2020-09-18,subway,1725443,2509054.9794841735,1062183.680628766,False
2020-09-19,subway,1136947,2509054.9794841735,1062183.680628766,False
2020-09-20,subway,827605,2509054.9794841735,1062183.680628766,False
2020-09-21,subway,1624139,2509054.9794841735,1062183.680628766,False
2020-09-22,subway,1698504,2509054.9794841735,1062183.680628766,False
2020-09-23,subway,1735333,2509054.9794841735,1062183.680628766,False
2020-09-24,subway,1722364,2509054.9794841735,1062183.680628766,False
2020-09-25,subway,1761591,2509054.9794841735,1062183.680628766,False
2020-09-26,subway,1120143,2509054.9794841735,1062183.680628766,False
2020-09-27,subway,846179,2509054.9794841735,1062183.680628766,False
2020-09-28,subway,1489240,2509054.9794841735,1062183.680628766,False
2020-09-29,subway,1661264,2509054.9794841735,1062183.680628766,False
2020-09-30,subway,1740820,2509054.9794841735,1062183.680628766,False
2020-10-01,subway,1809958,2509054.9794841735,1062183.680628766,False
2020-10-02,subway,1790612,2509054.9794841735,1062183.680628766,False
2020-10-03,subway,1168040,2509054.9794841735,1062183.680628766,False
2020-10-04,subway,852830,2509054.9794841735,1062183.680628766,False
2020-10-05,subway,1678792,2509054.9794841735,1062183.680628766,False
2020-10-06,subway,1758454,2509054.9794841735,1062183.680628766,False
2020-10-07,subway,1770617,2509054.9794841735,1062183.680628766,False
2020-10-08,subway,1798005,2509054.9794841735,1062183.680628766,False
2020-10-09,subway,1808079,2509054.9794841735,1062183.680628766,False
2020-10-10,subway,1170227,2509054.9794841735,1062183.680628766,False
2020-10-11,subway,848469,2509054.9794841735,1062183.680628766,False
2020-10-12,subway,1284655,2509054.9794841735,1062183.680628766,False
2020-10-13,subway,1715183,2509054.9794841735,1062183.680628766,False
2020-10-14,subway,1838682,2509054.9794841735,1062183.680628766,False
2020-10-15,subway,1853753,2509054.9794841735,1062183.680628766,False
2020-10-16,subway,1671320,2509054.9794841735,1062183.680628766,False
2020-10-17,subway,1209473,2509054.9794841735,1062183.680628766,False
2020-10-18,subway,896812,2509054.9794841735,1062183.680628766,False
2020-10-19,subway,1719153,2509054.9794841735,1062183.680628766,False
2020-10-20,subway,1780231,2509054.9794841735,1062183.680628766,False
2020-10-21,subway,1812949,2509054.9794841735,1062183.680628766,False
2020-10-22,subway,1825208,2509054.9794841735,1062183.680628766,False
2020-10-23,subway,1842588,2509054.9794841735,1062183.680628766,False
2020-10-24,subway,1185612,2509054.9794841735,1062183.680628766,False
2020-10-25,subway,885001,2509054.9794841735,1062183.680628766,False
2020-10-26,subway,1690651,2509054.9794841735,1062183.680628766,False
2020-10-27,subway,1815242,2509054.9794841735,1062183.680628766,False
2020-10-28,subway,1819352,2509054.9794841735,1062183.680628766,False
2020-10-29,subway,1705072,2509054.9794841735,1062183.680628766,False
2020-10-30,subway,1768018,2509054.9794841735,1062183.680628766,False
2020-10-31,subway,1174059,2509054.9794841735,1062183.680628766,False
2020-11-01,subway,786675,2509054.9794841735,1062183.680628766,False
2020-11-02,subway,1747908,2509054.9794841735,1062183.680628766,False
2020-11-03,subway,1602912,2509054.9794841735,1062183.680628766,False
2020-11-04,subway,1690489,2509054.9794841735,1062183.680628766,False
2020-11-05,subway,1793796,2509054.9794841735,1062183.680628766,False
2020-11-06,subway,1837314,2509054.9794841735,1062183.680628766,False
2020-11-07,subway,1246321,2509054.9794841735,1062183.680628766,False
2020-11-08,subway,927670,2509054.9794841735,1062183.680628766,False
2020-11-09,subway,1752614,2509054.9794841735,1062183.680628766,False
2020-11-10,subway,1836902,2509054.9794841735,1062183.680628766,False
2020-11-11,subway,1614812,2509054.9794841735,1062183.680628766,False
2020-11-12,subway,1776666,2509054.9794841735,1062183.680628766,False
2020-11-13,subway,1816693,2509054.9794841735,1062183.680628766,False
2020-11-14,subway,1215477,2509054.9794841735,1062183.680628766,False
2020-11-15,subway,820858,2509054.9794841735,1062183.680628766,False
2020-11-16,subway,1741750,2509054.9794841735,1062183.680628766,False
2020-11-17,subway,1788847,2509054.9794841735,1062183.680628766,False
2020-11-18,subway,1787688,2509054.9794841735,1062183.680628766,False
2020-11-19,subway,1757535,2509054.9794841735,1062183.680628766,False
2020-11-20,subway,1800423,2509054.9794841735,1062183.680628766,False
2020-11-21,subway,1157957,2509054.9794841735,1062183.680628766,False
2020-11-22,subway,817963,2509054.9794841735,1062183.680628766,False
2020-11-23,subway,1646525,2509054.9794841735,1062183.680628766,False
2020-11-24,subway,1735702,2509054.9794841735,1062183.680628766,False
2020-11-25,subway,1688227,2509054.9794841735,1062183.680628766,False
2020-11-26,subway,652276,2509054.9794841735,1062183.680628766,False
2020-11-27,subway,1263473,2509054.9794841735,1062183.680628766,False
2020-11-28,subway,1032823,2509054.9794841735,1062183.680628766,False
2020-11-29,subway,826974,2509054.9794841735,1062183.680628766,False
2020-11-30,subway,1459131,2509054.9794841735,1062183.680628766,False
2020-12-01,subway,1706348,2509054.9794841735,1062183.680628766,False
2020-12-02,subway,1699968,2509054.9794841735,1062183.680628766,False
2020-12-03,subway,1736045,2509054.9794841735,1062183.680628766,False
2020-12-04,subway,1701628,2509054.9794841735,1062183.680628766,False
2020-12-05,subway,1000240,2509054.9794841735,1062183.680628766,False
2020-12-06,subway,878393,2509054.9794841735,1062183.680628766,False
2020-12-07,subway,1656627,2509054.9794841735,1062183.680628766,False
2020-12-08,subway,1540893,2509054.9794841735,1062183.680628766,False
2020-12-09,subway,1701926,2509054.9794841735,1062183.680628766,False
2020-12-10,subway,1761336,2509054.9794841735,1062183.680628766,False
2020-12-11,subway,1786290,2509054.9794841735,1062183.680628766,False
2020-12-12,subway,1091352,2509054.9794841735,1062183.680628766,False
2020-12-13,subway,911439,2509054.9794841735,1062183.680628766,False
2020-12-14,subway,1584089,2509054.9794841735,1062183.680628766,False
2020-12-15,subway,1783388,2509054.9794841735,1062183.680628766,False
2020-12-16,subway,1569079,2509054.9794841735,1062183.680628766,False
2020-12-17,subway,1079818,2509054.9794841735,1062183.680628766,False
2020-12-18,subway,1735664,2509054.9794841735,1062183.680628766,False
2020-12-19,subway,1112827,2509054.9794841735,1062183.680628766,False
2020-12-20,subway,821265,2509054.9794841735,1062183.680628766,False
2020-12-21,subway,1716035,2509054.9794841735,1062183.680628766,False
2020-12-22,subway,1760948,2509054.9794841735,1062183.680628766,False
2020-12-23,subway,1772537,2509054.9794841735,1062183.680628766,False
2020-12-24,subway,1312480,2509054.9794841735,1062183.680628766,False
2020-12-25,subway,485208,2509054.9794841735,1062183.680628766,False
2020-12-26,subway,879170,2509054.9794841735,1062183.680628766,False
2020-12-27,subway,760350,2509054.9794841735,1062183.680628766,False
2020-12-28,subway,1510168,2509054.9794841735,1062183.680628766,False
2020-12-29,subway,1555198,2509054.9794841735,1062183.680628766,False
2020-12-30,subway,1582486,2509054.9794841735,1062183.680628766,False
2020-12-31,subway,1274984,2509054.9794841735,1062183.680628766,False
2021-01-01,subway,613692,2509054.9794841735,1062183.680628766,False
2021-01-02,subway,988418,2509054.9794841735,1062183.680628766,False
2021-01-03,subway,653187,2509054.9794841735,1062183.680628766,False
2021-01-04,subway,1557977,2509054.9794841735,1062183.680628766,False
2021-01-05,subway,1597518,2509054.9794841735,1062183.680628766,False
2021-01-06,subway,1613629,2509054.9794841735,1062183.680628766,False
2021-01-07,subway,1611099,2509054.9794841735,1062183.680628766,False
2021-01-08,subway,1619242,2509054.9794841735,1062183.680628766,False
2021-01-09,subway,990412,2509054.9794841735,1062183.680628766,False
2021-01-10,subway,763097,2509054.9794841735,1062183.680628766,False
2021-01-11,subway,1568207,2509054.9794841735,1062183.680628766,False
2021-01-12,subway,1640428,2509054.9794841735,1062183.680628766,False
2021-01-13,subway,1641652,2509054.9794841735,1062183.680628766,False
2021-01-14,subway,1647396,2509054.9794841735,1062183.680628766,False
2021-01-15,subway,1627120,2509054.9794841735,1062183.680628766,False
2021-01-16,subway,991500,2509054.9794841735,1062183.680628766,False
2021-01-17,subway,797654,2509054.9794841735,1062183.680628766,False
2021-01-18,subway,1276978,2509054.9794841735,1062183.680628766,False
2021-01-19,subway,1635915,2509054.9794841735,1062183.680628766,False
2021-01-20,subway,1575075,2509054.9794841735,1062183.680628766,False
2021-01-21,subway,1652842,2509054.9794841735,1062183.680628766,False
2021-01-22,subway,1672001,2509054.9794841735,1062183.680628766,False
2021-01-23,subway,997551,2509054.9794841735,1062183.680628766,False
2021-01-24,subway,741139,2509054.9794841735,1062183.680628766,False
2021-01-25,subway,1592468,2509054.9794841735,1062183.680628766,False
2021-01-26,subway,1550953,2509054.9794841735,1062183.680628766,False
2021-01-27,subway,1660278,2509054.9794841735,1062183.680628766,False
2021-01-28,subway,1646806,2509054.9794841735,1062183.680628766,False
2021-01-29,subway,1511680,2509054.9794841735,1062183.680628766,False
2021-01-30,subway,942615,2509054.9794841735,1062183.680628766,False
2021-01-31,subway,722853,2509054.9794841735,1062183.680628766,False
2021-02-01,subway,583230,2509054.9794841735,1062183.680628766,False
2021-02-02,subway,1005985,2509054.9794841735,1062183.680628766,False
2021-02-03,subway,1702598,2509054.9794841735,1062183.680628766,False
2021-02-04,subway,1785833,2509054.9794841735,1062183.680628766,False
2021-02-05,subway,1741015,2509054.9794841735,1062183.680628766,False
2021-02-06,subway,1148477,2509054.9794841735,1062183.680628766,False
2021-02-07,subway,652521,2509054.9794841735,1062183.680628766,False
2021-02-08,subway,1639753,2509054.9794841735,1062183.680628766,False
2021-02-09,subway,1666467,2509054.9794841735,1062183.680628766,False
2021-02-10,subway,1750121,2509054.9794841735,1062183.680628766,False
2021-02-11,subway,1714656,2509054.9794841735,1062183.680628766,False
2021-02-12,subway,1706430,2509054.9794841735,1062183.680628766,False
2021-02-13,subway,1092063,2509054.9794841735,1062183.680628766,False
2021-02-14,subway,858014,2509054.9794841735,1062183.680628766,False
2021-02-15,subway,1218593,2509054.9794841735,1062183.680628766,False
2021-02-16,subway,1627528,2509054.9794841735,1062183.680628766,False
2021-02-17,subway,1733160,2509054.9794841735,1062183.680628766,False
2021-02-18,subway,1381886,2509054.9794841735,1062183.680628766,False
2021-02-19,subway,1566021,2509054.9794841735,1062183.680628766,False
2021-02-20,subway,1110589,2509054.9794841735,1062183.680628766,False
2021-02-21,subway,836095,2509054.9794841735,1062183.680628766,False
2021-02-22,subway,1582054,2509054.9794841735,1062183.680628766,False
2021-02-23,subway,1730198,2509054.9794841735,1062183.680628766,False
2021-02-24,subway,1806306,2509054.9794841735,1062183.680628766,False
2021-02-25,subway,1798165,2509054.9794841735,1062183.680628766,False
2021-02-26,subway,1822812,2509054.9794841735,1062183.680628766,False
2021-02-27,subway,1072932,2509054.9794841735,1062183.680628766,False
2021-02-28,subway,810071,2509054.9794841735,1062183.680628766,False
2021-03-01,subway,1696274,2509054.9794841735,1062183.680628766,False
2021-03-02,subway,1749511,2509054.9794841735,1062183.680628766,False
2021-03-03,subway,1846431,2509054.9794841735,1062183.680628766,False
2021-03-04,subway,1808744,2509054.9794841735,1062183.680628766,False
2021-03-05,subway,1825915,2509054.9794841735,1062183.680628766,False
2021-03-06,subway,1167884,2509054.9794841735,1062183.680628766,False
2021-03-07,subway,894119,2509054.9794841735,1062183.680628766,False
2021-03-08,subway,1719586,2509054.9794841735,1062183.680628766,False
2021-03-09,subway,1834068,2509054.9794841735,1062183.680628766,False
2021-03-10,subway,1849077,2509054.9794841735,1062183.680628766,False
2021-03-11,subway,1881902,2509054.9794841735,1062183.680628766,False
2021-03-12,subway,1914465,2509054.9794841735,1062183.680628766,False
2021-03-13,subway,1257372,2509054.9794841735,1062183.680628766,False
2021-03-14,subway,923968,2509054.9794841735,1062183.680628766,False
2021-03-15,subway,1730024,2509054.9794841735,1062183.680628766,False
2021-03-16,subway,1798288,2509054.9794841735,1062183.680628766,False
2021-03-17,subway,1866414,2509054.9794841735,1062183.680628766,False
2021-03-18,subway,1771092,2509054.9794841735,1062183.680628766,False
2021-03-19,subway,1906749,2509054.9794841735,1062183.680628766,False
2021-03-20,subway,1307403,2509054.9794841735,1062183.680628766,False
2021-03-21,subway,1013386,2509054.9794841735,1062183.680628766,False
2021-03-22,subway,1801438,2509054.9794841735,1062183.680628766,False
2021-03-23,subway,1879574,2509054.9794841735,1062183.680628766,False
2021-03-24,subway,1828084,2509054.9794841735,1062183.680628766,False
2021-03-25,subway,1925768,2509054.9794841735,1062183.680628766,False
2021-03-26,subway,1938246,2509054.9794841735,1062183.680628766,False
2021-03-27,subway,1374266,2509054.9794841735,1062183.680628766,False
2021-03-28,subway,807247,2509054.9794841735,1062183.680628766,False
2021-03-29,subway,1742162,2509054.9794841735,1062183.680628766,False
2021-03-30,subway,1881537,2509054.9794841735,1062183.680628766,False
2021-03-31,subway,1808546,2509054.9794841735,1062183.680628766,False
2021-04-01,subway,1841815,2509054.9794841735,1062183.680628766,False
2021-04-02,subway,1757698,2509054.9794841735,1062183.680628766,False
2021-04-03,subway,1318461,2509054.9794841735,1062183.680628766,False
2021-04-04,subway,950194,2509054.9794841735,1062183.680628766,False
2021-04-05,subway,1818703,2509054.9794841735,1062183.680628766,False
2021-04-06,subway,1942198,2509054.9794841735,1062183.680628766,False
2021-04-07,subway,1985370,2509054.9794841735,1062183.680628766,False
2021-04-08,subway,2013413,2509054.9794841735,1062183.680628766,False
