date,service,total_ridership
2020-04-11,subway,257061.0
2020-04-12,access_a_ride,2525.0
2020-04-12,bridges_and_tunnels,217871.0
2020-04-12,bus,7041.0
2020-04-12,lirr,2245.0
2020-04-12,metro_north,3281.0
2020-04-12,staten_island_railway,294.0
2020-04-12,subway,198399.0
2020-04-13,access_a_ride,6205.0
2020-04-13,bridges_and_tunnels,284608.0
2020-04-13,bus,14408.0
2020-04-13,lirr,8192.0
2020-04-13,metro_north,8824.0
2020-04-13,staten_island_railway,649.0
2020-04-13,subway,363312.0
2020-04-14,access_a_ride,6585.0
2020-04-14,bridges_and_tunnels,356104.0
2020-04-14,bus,17937.0
2020-04-14,lirr,8816.0
2020-04-14,metro_north,9592.0
2020-04-14,staten_island_railway,791.0
2020-04-14,subway,430155.0
2020-04-15,access_a_ride,6928.0
2020-04-15,bridges_and_tunnels,340212.0
2020-04-15,bus,16895.0
2020-04-15,lirr,8596.0
2020-04-15,metro_north,9492.0
2020-04-15,staten_island_railway,792.0
2020-04-15,subway,419059.0
2020-04-16,access_a_ride,6563.0
2020-04-16,bridges_and_tunnels,346341.0
2020-04-16,bus,16632.0
2020-04-16,lirr,8462.0
2020-04-16,metro_north,9528.0
2020-04-16,staten_island_railway,790.0
2020-04-16,subway,420223.0
2020-04-17,access_a_ride,7048.0
2020-04-17,bridges_and_tunnels,378350.0
2020-04-17,bus,16350.0
2020-04-17,lirr,8271.0
2020-04-17,metro_north,9989.0
2020-04-17,staten_island_railway,738.0
2020-04-17,subway,432368.0
2020-04-18,access_a_ride,4202.0
2020-04-18,bridges_and_tunnels,254734.0
2020-04-18,bus,8115.0
2020-04-18,lirr,2449.0
2020-04-18,metro_north,3965.0
2020-04-18,staten_island_railway,339.0
2020-04-18,subway,254453.0
2020-04-19,access_a_ride,2742.0
2020-04-19,bridges_and_tunnels,276406.0
2020-04-19,bus,6929.0
2020-04-19,lirr,2159.0
2020-04-19,metro_north,3884.0
2020-04-19,staten_island_railway,340.0
2020-04-19,subway,224411.0
2020-04-20,access_a_ride,7050.0
2020-04-20,bridges_and_tunnels,371776.0
2020-04-20,bus,16522.0
2020-04-20,lirr,8912.0
2020-04-20,metro_north,10063.0
2020-04-20,staten_island_railway,770.0
2020-04-20,subway,437852.0
2020-04-21,access_a_ride,6613.0
2020-04-21,bridges_and_tunnels,356098.0
2020-04-21,bus,15231.0
2020-04-21,lirr,8264.0
2020-04-21,metro_north,9374.0
2020-04-21,staten_island_railway,753.0
2020-04-21,subway,422107.0
2020-04-22,access_a_ride,7496.0
2020-04-22,bridges_and_tunnels,398703.0
2020-04-22,bus,16487.0
2020-04-22,lirr,8674.0
2020-04-22,metro_north,9694.0
2020-04-22,staten_island_railway,793.0
2020-04-22,subway,458781.0
2020-04-23,access_a_ride,6969.0
2020-04-23,bridges_and_tunnels,386937.0
2020-04-23,bus,15786.0
2020-04-23,lirr,8425.0
2020-04-23,metro_north,9527.0
2020-04-23,staten_island_railway,780.0
2020-04-23,subway,453520.0
2020-04-24,access_a_ride,7040.0
2020-04-24,bridges_and_tunnels,386935.0
2020-04-24,bus,14237.0
2020-04-24,lirr,7821.0
2020-04-24,metro_north,9722.0
2020-04-24,staten_island_railway,688.0
2020-04-24,subway,443956.0
2020-04-25,access_a_ride,4719.0
2020-04-25,bridges_and_tunnels,350299.0
2020-04-25,bus,8832.0
2020-04-25,lirr,2869.0
2020-04-25,metro_north,4987.0
2020-04-25,staten_island_railway,449.0
2020-04-25,subway,295387.0
2020-04-26,access_a_ride,2506.0
2020-04-26,bridges_and_tunnels,231540.0
2020-04-26,bus,5498.0
2020-04-26,lirr,1903.0
2020-04-26,metro_north,3495.0
2020-04-26,staten_island_railway,309.0
2020-04-26,subway,218787.0
2020-04-27,access_a_ride,6922.0
2020-04-27,bridges_and_tunnels,384123.0
